"province_id.id","district_code","district_name"
1,"01","Bhojpur District"
1,"02","Dhankuta District"
1,"03","Ilam District"
1,"04","Jhapa District"
1,"05","Khotang District"
1,"06","Morang District"
1,"07","Okhaldhunga District"
1,"08","Panchthar District"
1,"09","Sankhuwasabha District"
1,"10","Solukhumbu District"
1,"11","Sunsari District"
1,"12","Taplejung District"
1,"13","Tehrathum District"
1,"14","Udayapur District"
2,"01","Sarlahi District"
2,"02","Dhanusha District"
2,"03","Bara District"
2,"04","Rautahat District"
2,"05","Saptari District"
2,"06","Siraha District"
2,"07","Mahottari District"
2,"08","Parsa District"
3,"01","Sindhuli"
3,"02","Ramechhap"
3,"03","Dolakha"
3,"04","Bhaktapur"
3,"05","Dhading"
3,"06","Kathmandu"
3,"07","Kavrepalanchok"
3,"08","Lalitpur"
3,"09","Nuwakot"
3,"10","Rasuwa"
3,"11","Sindhupalchok"
3,"12","Chitwan"
3,"13","Makwanpur"
4,"01","Baglung District"
4,"02","Gorkha District"
4,"03","Kaski District"
4,"04","Lamjung District"
4,"05","Manang District"
4,"06","Mustang District"
4,"07","Myagdi District"
4,"08","Nawalpur District"
4,"09","Parbat District"
4,"10","Syangja District"
4,"11","Tanahun District"
5,"01","Kapilvastu District"
5,"02","Parasi District"
5,"03","Rupandehi District"
5,"04","Arghakhanchi District"
5,"05","Gulmi District"
5,"06","Palpa District"
5,"07","Dang District"
5,"08","Pyuthan District"
5,"09","Rolpa District"
5,"10","Eastern Rukum District"
5,"11","Banke District"
5,"12","Bardiya District"
6,"01","Western Rukum District"
6,"02","Salyan District"
6,"03","Dolpa District"
6,"04","Humla District"
6,"05","Jumla District"
6,"06","Kalikot District"
6,"07","Mugu District"
6,"08","Surkhet District"
6,"09","Dailekh District"
6,"10","Jajarkot District"
7,"01","Achham District"
7,"02","Baitadi District"
7,"03","Bajhang District"
7,"04","Bajura District"
7,"05","Dadeldhura District"
7,"06","Darchula District"
7,"07","Doti District"
7,"08","Kailali District"
7,"09","Kanchanpur District"
