"province_id.id","district_id.id","municipality_code","municipality_name"
1,1,"01","Bhojpur M"
1,1,"02","Shadanand M"
1,1,"03","Hatuwagadhi RM"
1,1,"04","Ramprasad Rai RM"
1,1,"05","Aamchok RM"
1,1,"06","Tyamke Maiyunm RM"
1,1,"07","Arun RM"
1,1,"08","Pauwadungma RM"
1,1,"09"," Salpasilichho RM"
1,2,"01","Dhankuta M"
1,2,"02","Pakhribas M"
1,2,"03","Mahalaxmi M"
1,2,"04","Sangurigadhi RM"
1,2,"05","Chaubise RM"
1,2,"06","Sahidbhumi RM"
1,2,"07","Chhathar Jorpati RM"
1,3,"01","Ilam M"
1,3,"02","Deumai M"
1,3,"03","Mai Municipality"
1,3,"04","Suryodaya M"
1,3,"05","Phakphokthum RM"
1,3,"06","Mai Jogmai RM"
1,3,"07","Chulachuli RM"
1,3,"08","Rong RM"
1,3,"09","Mangsebung RM"
1,3,"10","Sandakpur RM"
1,4,"01","Mechinagar Municipality"
1,4,"02","Bhadrapur Municipality"
1,4,"03","Birtamod Municipality"
1,4,"04","Arjundhara Municipality"
1,4,"05","Kankai Municipality"
1,4,"06","Shivasatakshi Municipality"
1,4,"07","Gauradaha Municipality"
1,4,"08","Damak Municipality"
1,4,"09","Buddhashanti Rural Municipality"
1,4,"10","Haldibari Rural Municipality"
1,4,"11","Kachankawal Rural Municipality"
1,4,"12","Barhadashi Rural Municipality"
1,4,"13","Jhapa Rural Municipality"
1,4,"14","Gauriganj Rural Municipality"
1,4,"15","Kamal Rural Municipality"
1,5,"01","Diktel Rupakot Majhuwagadhi M"
1,5,"02","Halesi Tuwachung M"
1,5,"03","Khotehang RM"
1,5,"04","Diprung RM"
1,5,"05","Aiselukharka RM"
1,5,"06","Jantedhunga RM"
1,5,"07","Kepilasgadhi RM"
1,5,"08","Barahpokhari RM"
1,5,"09","Rawabesi RM"
1,5,"10","Sakela RM"
1,6,"01","Biratnagar Metropolitan City"
1,6,"02","Sundar Haraicha Municipality"
1,6,"03","Belbari Municipality"
1,6,"04","Pathari-Sanischare Municipality"
1,6,"05","Urlabari Municipality"
1,6,"06","Rangeli Municipality"
1,6,"07","Letang Bhogateni Municipality"
1,6,"08","Ratuwamai Municipality"
1,6,"09","Sunawarshi Municipality"
1,6,"10","Kerabari Rural Municipality"
1,6,"11","Miklajung Rural Municipality"
1,6,"12","Kanepokhari Rural Municipality"
1,6,"13","Budhiganga Rural Municipality"
1,6,"14","Gramthan Rural Municipality"
1,6,"15","Katahari Rural Municipality"
